Origin,Visa Free,Visa Required
Afghanistan,28,198
Albania,123,103
Algeria,56,170
Andorra,171,55
Angola,53,173
Antigua and Barbuda,153,73
Argentina,174,52
Armenia,68,158
Australia,189,37
Austria,192,34
Azerbaijan,72,154
Bahamas,158,68
Bahrain,91,135
Bangladesh,42,184
Barbados,165,61
Belarus,81,145
Belgium,191,35
Belize,104,122
Benin,63,163
Bhutan,55,171
Bolivia,82,144
Bosnia and Herzegovina,121,105
Botswana,91,135
Brazil,173,53
Brunei,168,58
Bulgaria,179,47
Burkina Faso,60,166
Burundi,51,175
Cambodia,56,170
Cameroon,53,173
Canada,188,38
Cape Verde Islands,69,157
Central African Republic,55,171
Chad,55,171
Chile,177,49
China,85,141
Colombia,135,91
Comoro Islands,55,171
Congo (Dem. Rep.),46,180
Congo (Rep.),52,174
Costa Rica,152,74
Cote d'Ivoire,59,167
Croatia,179,47
Cuba,64,162
Cyprus,182,44
Czechia,189,37
Denmark,192,34
Djibouti,50,176
Dominica,144,82
Dominican Republic,74,152
Ecuador,95,131
Egypt,55,171
El Salvador,136,90
Equatorial Guinea,58,168
Eritrea,43,183
Estonia,187,39
Ethiopia,47,179
Fiji,91,135
Finland,193,33
France,194,32
Gabon,61,165
Georgia,121,105
Germany,194,32
Ghana,66,160
Greece,190,36
Grenada,148,78
Guatemala,137,89
Guinea,59,167
Guinea-Bissau,56,170
Guyana,91,135
Haiti,55,171
Honduras,135,91
Hong Kong (SAR China),171,55
Hungary,188,38
Iceland,185,41
India,62,164
Indonesia,78,148
Iran,45,181
Iraq,31,195
Ireland,192,34
Israel,166,60
Italy,194,32
Jamaica,90,136
Japan,194,32
Jordan,55,171
Kazakhstan,78,148
Kenya,76,150
Kiribati,124,102
Kosovo,74,152
Kuwait,102,124
Kyrgyzstan,65,161
Laos,51,175
Latvia,186,40
Lebanon,45,181
Lesotho,80,146
Liberia,51,175
Libya,40,186
Liechtenstein,182,44
Lithuania,187,39
Luxembourg,191,35
Macao (SAR China),144,82
Madagascar,60,166
Malawi,76,150
Malaysia,182,44
Maldives,94,132
Mali,56,170
Malta,190,36
Marshall Islands,126,100
Mauritania,59,167
Mauritius,150,76
Mexico,161,65
Micronesia,123,103
Moldova,122,104
Monaco,178,48
Mongolia,63,163
Montenegro,126,100
Morocco,71,155
Mozambique,63,163
Myanmar,48,178
Namibia,80,146
Nauru,90,136
Nepal,40,186
Netherlands,192,34
New Zealand,189,37
Nicaragua,130,96
Niger,57,169
Nigeria,45,181
North Korea,42,184
North Macedonia,127,99
Norway,191,35
Oman,90,136
Pakistan,34,192
Palau Islands,123,103
Palestinian Territory,40,186
Panama,149,77
Papua New Guinea,85,141
Paraguay,146,80
Peru,142,84
Philippines,69,157
Poland,189,37
Portugal,191,35
Qatar,108,118
Romania,179,47
Russian Federation,119,107
Rwanda,66,160
Samoa,132,94
San Marino,172,54
Sao Tome and Principe,61,165
Saudi Arabia,89,137
Senegal,58,168
Serbia,138,88
Seychelles,156,70
Sierra Leone,67,159
Singapore,194,32
Slovakia,186,40
Slovenia,186,40
Solomon Islands,134,92
Somalia,36,190
South Africa,108,118
South Korea,193,33
South Sudan,46,180
Spain,194,32
Sri Lanka,43,183
St. Kitts and Nevis,157,69
St. Lucia,148,78
St. Vincent and the Grenadines,157,69
Sudan,45,181
Suriname,81,145
Sweden,193,33
Switzerland,190,36
Syria,29,197
Taiwan (Chinese Taipei),143,83
Tajikistan,61,165
Tanzania,73,153
Thailand,82,144
The Gambia,70,156
Timor-Leste,96,130
Togo,59,167
Tonga,130,96
Trinidad and Tobago,151,75
Tunisia,71,155
Turkmenistan,52,174
Tuvalu,128,98
Türkiye,118,108
Uganda,69,157
Ukraine,148,78
United Arab Emirates,183,43
United Kingdom,191,35
United States,188,38
Uruguay,156,70
Uzbekistan,62,164
Vanuatu,94,132
Vatican City,157,69
Venezuela,126,100
Vietnam,55,171
Yemen,35,191
Zambia,71,155
Zimbabwe,66,160
eSwatini,78,148
